# x	y	u	v	flags	mask
3.9000e+01	2.0070e+03	-1.5503e+00	1.2597e-01	0.0000e+00	0.0000e+00
8.7000e+01	2.0070e+03	-1.8903e+00	3.4618e-01	0.0000e+00	0.0000e+00
1.3500e+02	2.0070e+03	-1.0235e+00	7.7722e-01	0.0000e+00	0.0000e+00
1.8300e+02	2.0070e+03	-2.7216e-01	1.2322e+00	0.0000e+00	0.0000e+00
2.3100e+02	2.0070e+03	-2.3616e-01	-1.0250e+00	0.0000e+00	0.0000e+00
2.7900e+02	2.0070e+03	-4.1511e-01	-1.5278e+00	0.0000e+00	0.0000e+00
3.2700e+02	2.0070e+03	-8.5452e-01	-1.8771e+00	0.0000e+00	0.0000e+00
3.7500e+02	2.0070e+03	-1.4330e+00	-8.6722e-01	0.0000e+00	0.0000e+00
4.2300e+02	2.0070e+03	-5.9765e-01	-2.0523e-01	0.0000e+00	0.0000e+00
4.7100e+02	2.0070e+03	-7.8002e-01	-1.2345e+00	0.0000e+00	0.0000e+00
5.1900e+02	2.0070e+03	-1.1451e+00	-8.2894e-01	0.0000e+00	0.0000e+00
5.6700e+02	2.0070e+03	-3.0693e-01	6.7202e-02	0.0000e+00	0.0000e+00
6.1500e+02	2.0070e+03	6.1821e-01	4.3606e-02	0.0000e+00	0.0000e+00
6.6300e+02	2.0070e+03	1.0920e+00	5.2163e-03	0.0000e+00	0.0000e+00
7.1100e+02	2.0070e+03	1.3024e+00	2.2387e-02	0.0000e+00	0.0000e+00
7.5900e+02	2.0070e+03	1.3938e+00	4.0771e-02	0.0000e+00	0.0000e+00
8.0700e+02	2.0070e+03	1.3757e+00	2.3770e-01	0.0000e+00	0.0000e+00
8.5500e+02	2.0070e+03	2.9715e-01	-8.1250e-01	0.0000e+00	0.0000e+00
9.0300e+02	2.0070e+03	-6.9104e-01	1.1184e+00	0.0000e+00	0.0000e+00
9.5100e+02	2.0070e+03	-1.8618e+00	4.6074e-01	0.0000e+00	0.0000e+00
9.9900e+02	2.0070e+03	-2.1215e+00	6.6926e-01	0.0000e+00	0.0000e+00
1.0470e+03	2.0070e+03	-2.2420e+00	6.0348e-01	0.0000e+00	0.0000e+00
1.0950e+03	2.0070e+03	-1.9537e+00	6.5790e-01	0.0000e+00	0.0000e+00
1.1430e+03	2.0070e+03	-1.5316e+00	1.0275e+00	0.0000e+00	0.0000e+00
1.1910e+03	2.0070e+03	-4.6175e-02	-2.2290e-01	0.0000e+00	0.0000e+00
1.2390e+03	2.0070e+03	-1.2615e-01	4.0283e-01	0.0000e+00	0.0000e+00
1.2870e+03	2.0070e+03	5.6014e-01	-2.4567e-01	0.0000e+00	0.0000e+00
1.3350e+03	2.0070e+03	5.4814e-01	-3.0959e-01	0.0000e+00	0.0000e+00
